file_name,file_path,modality_code,modality,channel_code,channel,emotion_code,emotion,intensity_code,intensity,statement_code,statement,repetition_code,repetition,actor_id,actor_gender,final_label,keep_for_project,sample_rate,num_frames,duration_seconds,num_channels,split
03-01-01-01-01-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-01-01-01-01-01.wav,03,audio_only,01,speech,01,neutral,01,normal,01,Kids are talking by the door,01,first,01,male,neutral,True,48000,158558,3.3032916666666665,1,train
03-01-01-01-01-02-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-01-01-01-02-01.wav,03,audio_only,01,speech,01,neutral,01,normal,01,Kids are talking by the door,02,second,01,male,neutral,True,48000,160160,3.3366666666666664,1,train
03-01-01-01-02-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-01-01-02-01-01.wav,03,audio_only,01,speech,01,neutral,01,normal,02,Dogs are sitting by the door,01,first,01,male,neutral,True,48000,156956,3.2699166666666666,1,train
03-01-01-01-02-02-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-01-01-02-02-01.wav,03,audio_only,01,speech,01,neutral,01,normal,02,Dogs are sitting by the door,02,second,01,male,neutral,True,48000,152152,3.1698333333333335,1,train
03-01-02-01-01-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-01-01-01-01.wav,03,audio_only,01,speech,02,calm,01,normal,01,Kids are talking by the door,01,first,01,male,neutral,True,48000,169769,3.5368541666666666,1,train
03-01-02-02-01-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-02-01-01-01.wav,03,audio_only,01,speech,02,calm,02,strong,01,Kids are talking by the door,01,first,01,male,neutral,True,48000,177778,3.703708333333333,1,train
03-01-02-01-01-02-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-01-01-02-01.wav,03,audio_only,01,speech,02,calm,01,normal,01,Kids are talking by the door,02,second,01,male,neutral,True,48000,172972,3.6035833333333334,2,train
03-01-02-02-01-02-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-02-01-02-01.wav,03,audio_only,01,speech,02,calm,02,strong,01,Kids are talking by the door,02,second,01,male,neutral,True,48000,192192,4.004,1,train
03-01-02-01-02-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-01-02-01-01.wav,03,audio_only,01,speech,02,calm,01,normal,02,Dogs are sitting by the door,01,first,01,male,neutral,True,48000,168168,3.5035,1,train
03-01-02-02-02-01-01.wav,/Users/pavan/Downloads/CSULA SEM2/DS/FinalProject/data/raw/ravdess_audio_speech/Actor_01/03-01-02-02-02-01-01.wav,03,audio_only,01,speech,02,calm,02,strong,02,Dogs are sitting by the door,01,first,01,male,neutral,True,48000,201802,4.204208333333334,1,train
